,0,1,2,3,4,5,6,7,8,9
407,(-5.922133483566661e-13+0j),(2.595272446046603e-12+0j),(-3.145482396220467e-07+0j),(0.00136269965908283-0.003023064516484507j),(0.00136269965908283+0.003023064516484507j),(-0.009799518033098443+0.006277960084315689j),(-0.009799518033098443-0.006277960084315689j),(0.0025147513773253437+0j),(-0.008429679913050471+0j),(-0.04787950900241987+0j)
408,(-5.922133483566373e-13+0j),(2.5952724460463177e-12+0j),(-3.145482396220403e-07+0j),(0.0013626996590828451-0.003023064516484503j),(0.0013626996590828451+0.003023064516484503j),(-0.009799518033098437+0.006277960084315722j),(-0.009799518033098437-0.006277960084315722j),(0.0025147513773252244+0j),(-0.008429679913050433+0j),(-0.04787950900241987+0j)
409,(-1.104029029073815e-13+0j),(4.3733497378503396e-13+0j),(-3.936296264781545e-08+0j),(2.257593696813764e-06-1.8159522238500786e-05j),(2.257593696813764e-06+1.8159522238500786e-05j),(1.1697344228666203e-05-2.9913234957884334e-06j),(1.1697344228666203e-05+2.9913234957884334e-06j),(1.5912336019952607e-06+0j),(-1.800035643291253e-06+0j),(-0.021780864555349708+0j)
410,(-1.1040290290737895e-13+0j),(4.373349737850369e-13+0j),(-3.936296264781542e-08+0j),(2.257593696813268e-06-1.815952223850033e-05j),(2.257593696813268e-06+1.815952223850033e-05j),(1.1697344228669347e-05-2.9913234957900114e-06j),(1.1697344228669347e-05+2.9913234957900114e-06j),(1.5912336019955883e-06+0j),(-1.8000356432889752e-06+0j),(-0.02178086455534968+0j)
411,(-1.104029029073798e-13+0j),(4.3733497378504824e-13+0j),(-3.9362962647815425e-08+0j),(2.257593696813325e-06-1.815952223850038e-05j),(2.257593696813325e-06+1.815952223850038e-05j),(1.1697344228668988e-05-2.991323495789856e-06j),(1.1697344228668988e-05+2.991323495789856e-06j),(1.5912336019955891e-06+0j),(-1.8000356432892433e-06+0j),(-0.021780864555349683+0j)
412,(0.034189807897384794+0j),(-0.029701131292543682+0j),(0.012751283538321147+0j),(0.012598857956807258-0.001250177325658899j),(0.012598857956807258+0.001250177325658899j),(0.02111448375589117+5.088518881864992e-05j),(0.02111448375589117-5.088518881864992e-05j),(0.0017522773310558392+0j),(0.024452744782669657+0j),(-0.031094960033938683+0j)
413,(0.03418980789738449+0j),(-0.02970113129254335+0j),(0.012751283538321067+0j),(0.012598857956807234-0.0012501773256588687j),(0.012598857956807234+0.0012501773256588687j),(0.021114483755891204+5.0885188818626626e-05j),(0.021114483755891204-5.0885188818626626e-05j),(0.0017522773310557926+0j),(0.02445274478266979+0j),(-0.03109496003393872+0j)
414,(0.03418980789738489+0j),(-0.029701131292543884+0j),(0.012751283538321188+0j),(0.01259885795680722-0.0012501773256588767j),(0.01259885795680722+0.0012501773256588767j),(0.021114483755891138+5.088518881864214e-05j),(0.021114483755891138-5.088518881864214e-05j),(0.001752277331055933+0j),(0.024452744782669646+0j),(-0.031094960033938666+0j)
415,(0.03418980789738492+0j),(-0.029701131292543877+0j),(0.01275128353832106+0j),(0.0125988579568073-0.0012501773256589166j),(0.0125988579568073+0.0012501773256589166j),(0.021114483755891214+5.08851888186616e-05j),(0.021114483755891214-5.08851888186616e-05j),(0.0017522773310558624+0j),(0.024452744782669636+0j),(-0.03109496003393852+0j)
416,(0.0022712311538030973+0j),(-0.0015881218791808308+0j),(0.04914399901084601+0j),(-0.08610601460764723-0.019596572776178413j),(-0.08610601460764723+0.019596572776178413j),(-0.07823532901788242-0.016248646968314046j),(-0.07823532901788242+0.016248646968314046j),(0.013741749988544934+0j),(-0.032529650553836116+0j),(-0.034833027931042836+0j)
